station,lat,lon
AR-SLu,-33.4648,-66.4598
AU-ASM,-22.283,133.249
AU-Ade,-13.0769,131.1178
AU-Cpr,-34.0021,140.5891
AU-Cum,-33.6152,150.7236
AU-DaP,-14.0633,131.3181
AU-DaS,-14.1593,131.3881
AU-Dry,-15.2588,132.3706
AU-Emr,-23.8587,148.4746
AU-Fog,-12.5452,131.3072
AU-Gin,-31.3764,115.7138
AU-How,-12.4943,131.1523
AU-Lox,-34.4704,140.6551
AU-RDF,-14.5636,132.4776
AU-Rig,-36.6499,145.5759
AU-Rob,-17.1175,145.6301
AU-Stp,-17.1507,133.3502
AU-TTE,-22.287,133.64
AU-Tum,-35.6566,148.1517
AU-Wac,-37.4259,145.1878
AU-Whr,-36.6732,145.0294
AU-Wom,-37.4222,144.0944
AU-Ync,-34.9893,146.2907
BE-Bra,51.3076,4.5198
BE-Lon,50.5516,4.7462
BE-Vie,50.3049,5.9981
BR-Sa3,-3.018,-54.9714
CA-NS1,55.8792,-98.4839
CA-NS2,55.9058,-98.5247
CA-NS3,55.9117,-98.3822
CA-NS4,55.9144,-98.3806
CA-NS5,55.8631,-98.485
CA-NS6,55.9167,-98.9644
CA-NS7,56.6358,-99.9483
CA-Qfo,49.6925,-74.3421
CH-Fru,47.1158,8.5378
CH-Lae,47.4783,8.3644
CH-Oe1,47.2858,7.7319
CN-Cha,42.4025,128.0958
CN-Cng,44.5934,123.5092
CN-Dan,30.4978,91.0664
CN-Din,23.1733,112.5361
CN-Du2,42.0467,116.2836
CN-Du3,42.0551,116.2809
CN-Ha2,37.6086,101.3269
CN-HaM,37.37,101.18
CN-Qia,26.7414,115.0581
CN-Sw2,41.7902,111.8971
CZ-BK1,49.5021,18.5369
CZ-BK2,49.4944,18.5429
DE-Geb,51.0997,10.9146
DE-Gri,50.95,13.5126
DE-Hai,51.0792,10.4522
DE-Kli,50.8931,13.5224
DE-Lkb,49.0996,13.3047
DE-Lnf,51.3282,10.3678
DE-Obe,50.7867,13.7213
DE-RuS,50.8659,6.4471
DE-Seh,50.8706,6.4497
DE-Tha,50.9626,13.5651
DK-Eng,55.6905,12.1918
DK-Fou,56.4842,9.5872
DK-Sor,55.4859,11.6446
ES-Amo,36.8336,-2.2523
ES-LJu,36.9266,-2.7521
ES-LgS,37.0979,-2.9658
FI-Jok,60.8986,23.5134
FI-Sod,67.3624,26.6386
FR-Gri,48.8442,1.9519
FR-LBr,44.7171,-0.7693
GF-Guy,5.2788,-52.9249
GH-Ank,5.2685,-2.6942
GL-ZaH,74.4733,-20.5503
IT-CA1,42.3804,12.0266
IT-CA2,42.3772,12.026
IT-CA3,42.38,12.0222
IT-Col,41.8494,13.5881
AT-Neu,47.1167,11.3175
CH-Cha,47.2102,8.4104
CH-Dav,46.8153,9.8559
CH-Oe2,47.2864,7.7337
FI-Hyy,61.8474,24.2948
FI-Sii,61.8327,24.1928
IT-BCi,40.5237,14.9574
