time	value	nobs
2007-10-17	2.0225036170212762	47
2007-10-18	2.2040517021276598	47
2007-11-01	4.742235319148937	47
2007-11-02	5.017908085106383	47
2007-11-03	4.517084468085107	47
2007-11-04	4.2907555319148925	47
2007-11-05	4.497814680851064	47
2007-11-06	4.210123191489362	47
2007-11-07	4.805747872340425	47
2007-11-08	4.886613191489362	47
2007-11-09	5.856010000000002	47
2007-11-10	6.218204468085105	47
2007-11-11	5.646686595744682	47
2007-11-12	5.388859361702128	47
2007-11-13	5.75797340425532	47
2007-11-14	5.428408936170212	47
2007-11-15	5.119896382978724	47
2007-11-16	5.618130851063829	47
2007-11-17	5.2128404255319145	47
2007-11-18	4.860124680851063	47
2007-11-19	5.228448723404255	47
2007-11-20	5.615742765957447	47
2007-11-21	5.340175531914894	47
2007-11-22	5.667106170212766	47
2007-11-23	5.805165531914894	47
2007-11-24	6.302031489361702	47
2007-11-25	6.0728925531914895	47
2007-11-26	6.061272553191489	47
2007-11-27	6.551585106382978	47
2007-11-28	6.242780638297876	47
2007-11-29	6.720070212765957	47
2007-11-30	6.967427446808509	47
2007-12-01	6.770958085106383	47
2007-12-02	7.226236808510639	47
2007-12-03	6.92405255319149	47
2007-12-04	6.587224468085108	47
2007-12-05	6.963718723404257	47
2007-12-06	6.252367234042555	47
2007-12-07	5.995588723404255	47
2007-12-08	6.517665319148936	47
2007-12-09	6.225202127659576	47
2007-12-10	6.171302978723405	47
2007-12-11	7.046611914893615	47
2007-12-12	7.002251914893616	47
2007-12-13	7.122567659574468	47
2007-12-14	6.797755106382978	47
2007-12-15	7.264660638297875	47
2007-12-16	7.2402212765957445	47
2007-12-17	7.272570638297874	47
2007-12-18	7.055527872340425	47
2007-12-19	7.063305957446808	47
2007-12-20	7.457150212765957	47
2007-12-21	8.104274255319147	47
2007-12-22	7.514958936170214	47
2007-12-23	7.521897234042553	47
2007-12-24	6.690871063829788	47
2007-12-25	6.548325531914893	47
2007-12-26	5.901969148936169	47
2007-12-27	5.69948	47
2007-12-28	5.295001914893617	47
2007-12-29	4.9440023404255315	47
2007-12-30	4.474536170212765	47
2007-12-31	4.417944893617022	47
2008-01-01	5.607932127659574	47
2008-01-02	5.385491489361704	47
2008-01-03	5.626622978723403	47
2008-01-04	5.239141702127659	47
2008-01-05	5.673974680851064	47
2008-01-06	6.3493185106383	47
2008-01-07	6.0128257446808515	47
2008-01-08	6.4036663829787255	47
2008-01-09	5.9490606382978735	47
2008-01-10	5.988934042553192	47
2008-01-11	6.490559148936169	47
2008-01-12	6.723421489361701	47
2008-01-13	6.128129574468088	47
2008-01-14	6.403645744680852	47
2008-01-15	7.033881914893617	47
2008-01-16	7.35935404255319	47
2008-01-17	7.48389340425532	47
2008-01-18	7.435326170212765	47
2008-01-19	6.984051914893615	47
2008-01-20	7.7347319148936196	47
2008-01-21	7.647152127659575	47
2008-01-22	7.4152104255319164	47
2008-01-23	6.64122170212766	47
2008-01-24	6.1565010638297855	47
2008-01-25	6.379904893617021	47
2008-01-26	5.79144085106383	47
