time	value	nobs
2001-01-16	2.213191489361702	47
2001-01-17	2.235531914893616	47
2001-01-20	2.2297872340425533	47
2001-01-24	2.2180851063829787	47
2001-01-29	2.2119148936170205	47
2001-01-30	2.2182978723404254	47
2001-01-31	2.210212765957446	47
2001-02-01	2.1989361702127668	47
2001-02-02	2.1929787234042557	47
2001-02-03	2.192765957446808	47
2001-02-05	2.1851063829787227	47
2001-02-06	2.165744680851064	47
2001-02-08	2.1634042553191493	47
2001-02-09	2.158085106382978	47
2001-02-10	2.1559574468085123	47
2001-02-11	2.1585106382978716	47
2001-02-13	2.158936170212766	47
2001-02-14	2.1540425531914895	47
2001-02-15	2.1557446808510656	47
2001-02-21	2.1527659574468077	47
2001-02-22	2.1597872340425526	47
2001-02-24	2.1587234042553183	47
2001-02-25	2.1557446808510656	47
2001-02-26	2.1517021276595742	47
2001-02-27	2.1568085106382973	47
2001-03-03	2.1514893617021293	47
2001-03-04	2.1504255319148946	47
2001-03-05	2.155106382978725	47
2001-03-06	2.1536170212765975	47
2001-03-08	2.153829787234044	47
2001-03-16	2.1378723404255324	47
2001-03-17	2.1355319148936176	47
2001-03-18	2.1365957446808523	47
2001-03-19	2.141489361702129	47
2001-03-20	2.148510638297873	47
2001-03-21	2.1504255319148955	47
2001-03-22	2.151702127659576	47
2001-03-25	2.149787234042555	47
2001-03-26	2.1489361702127674	47
2001-03-27	2.150000000000001	47
2001-03-31	2.1434042553191497	47
2001-04-01	2.1421276595744683	47
2001-04-03	2.1391489361702125	47
2001-04-05	2.125957446808509	47
2001-04-06	2.1106382978723395	47
2001-04-07	2.148085106382978	47
2001-04-08	2.277446808510638	47
2001-04-09	2.2919148936170215	47
2001-04-12	2.2658333333333336	24
2001-04-15	2.2172340425531902	47
2001-04-17	2.200000000000001	47
2001-04-18	2.1838297872340444	47
2001-04-19	2.1742553191489367	47
2001-04-20	2.177234042553192	47
2001-04-21	2.1754545454545458	44
2001-04-22	2.187446808510639	47
2001-04-23	2.2644680851063828	47
2001-04-24	3.215319148936169	47
2001-04-25	9.301276595744678	47
2001-04-26	12.12127659574468	47
2001-04-27	11.338888888888892	45
2001-04-29	12.197234042553193	47
2001-04-30	11.35872340425532	47
2001-05-01	12.634468085106382	47
2001-05-02	10.74425531914894	47
2001-05-03	14.931702127659573	47
2001-05-04	12.146190476190476	42
2001-05-05	10.983191489361703	47
2001-05-06	11.345957446808509	47
2001-05-07	11.892765957446807	47
2001-05-08	13.340212765957448	47
2001-05-09	13.21978723404255	47
2001-05-10	11.419574468085107	47
2001-05-11	10.037659574468083	47
2001-05-12	9.688085106382978	47
2001-05-13	9.712127659574467	47
2001-05-14	8.297872340425531	47
2001-05-15	7.705531914893617	47
2001-05-16	7.321914893617021	47
2001-05-17	7.031489361702127	47
2001-05-18	6.764680851063826	47
2001-05-19	7.100425531914893	47
2001-05-20	8.167446808510642	47
2001-05-21	7.934468085106382	47
2001-05-22	7.400851063829789	47
2001-05-23	7.013829787234041	47
2001-05-24	7.6823404255319145	47
2001-05-25	8.208936170212764	47
2001-05-26	7.631702127659576	47
2001-05-27	7.348723404255319	47
2001-05-28	7.649787234042553	47
2001-05-29	7.36340425531915	47
2001-05-30	7.022340425531915	47
2001-05-31	6.701914893617022	47
2001-06-01	6.413191489361699	47
2001-06-02	6.127659574468085	47
2001-06-03	5.867234042553191	47
2001-06-04	5.673617021276597	47
2001-06-05	5.558297872340428	47
2001-06-06	5.502127659574466	47
2001-06-07	5.404468085106384	47
2001-06-08	5.28617021276596	47
2001-06-09	5.1461702127659565	47
2001-06-10	5.041063829787236	47
2001-06-11	4.960212765957447	47
2001-06-12	4.931914893617022	47
2001-06-13	4.906382978723403	47
2001-06-14	4.931276595744681	47
2001-06-15	5.023404255319149	47
2001-06-16	5.103617021276594	47
2001-06-18	6.208723404255319	47
2001-06-19	6.801489361702129	47
2001-06-29	4.3848936170212784	47
2001-06-30	4.302978723404257	47
2001-07-01	4.300425531914897	47
2001-07-02	4.303829787234043	47
2001-07-03	4.27191489361702	47
2001-07-04	4.239148936170212	47
2001-07-05	4.216382978723401	47
2001-07-06	4.284680851063832	47
2001-07-07	4.466170212765957	47
2001-07-08	4.5212765957446805	47
2001-07-10	4.36531914893617	47
2001-07-11	4.197446808510639	47
2001-07-12	4.097021276595745	47
2001-07-13	4.138085106382978	47
2001-07-14	4.426829268292684	41
2001-07-15	5.427234042553194	47
2001-07-16	5.63808510638298	47
2001-07-17	5.511489361702127	47
2001-07-18	7.299148936170211	47
2001-07-19	7.42191489361702	47
2001-07-20	7.80659574468085	47
2001-07-21	6.540425531914892	47
2001-07-22	6.059574468085105	47
2001-07-23	5.706595744680853	47
2001-07-24	5.403829787234046	47
2001-07-25	5.130425531914895	47
2001-07-26	4.909148936170212	47
2001-07-27	4.719361702127661	47
2001-07-28	4.568085106382979	47
2001-07-29	4.478085106382977	47
2001-07-30	4.448085106382978	47
2001-07-31	4.937021276595745	47
2001-08-01	6.299361702127659	47
2001-08-02	6.398936170212765	47
2001-08-03	6.076808510638299	47
2001-08-04	5.7844680851063845	47
2001-08-05	5.529574468085106	47
2001-08-06	5.4568085106382975	47
2001-08-07	5.579090909090909	22
2001-08-11	5.521785714285714	28
2001-08-12	5.42468085106383	47
2001-08-13	5.465531914893618	47
2001-08-14	5.715000000000001	22
2001-08-15	6.336190476190477	21
2001-08-16	6.432127659574468	47
2001-08-17	6.181063829787233	47
2001-08-18	6.071702127659574	47
2001-08-19	6.499787234042551	47
2001-08-20	6.430638297872342	47
2001-08-21	6.161489361702127	47
2001-08-22	5.876170212765958	47
2001-08-23	5.599148936170212	47
2001-08-24	5.364255319148937	47
2001-08-25	5.181702127659576	47
2001-08-26	5.0202127659574485	47
2001-08-27	4.90625	16
2001-08-29	4.6875	20
2001-08-30	4.546170212765957	47
2001-08-31	4.349361702127661	47
2001-09-01	4.194666666666665	45
2001-09-02	4.091702127659572	47
2001-09-03	4.039148936170212	47
2001-09-04	3.998723404255319	47
2001-09-05	4.0678723404255335	47
2001-09-06	5.705106382978723	47
2001-09-07	8.108297872340426	47
2001-09-08	7.530425531914894	47
2001-09-09	6.936808510638297	47
2001-09-10	6.658510638297872	47
2001-09-11	6.708085106382977	47
2001-09-12	6.5674468085106374	47
2001-09-13	6.5353191489361695	47
2001-09-14	6.665744680851062	47
2001-09-15	7.639361702127657	47
2001-09-16	8.151276595744683	47
2001-09-17	7.788085106382978	47
2001-09-18	6.968085106382978	47
2001-09-19	6.582127659574467	47
2001-09-20	6.301489361702128	47
2001-09-21	6.082127659574469	47
2001-09-22	5.913829787234042	47
2001-09-23	5.897021276595742	47
2001-09-24	5.87936170212766	47
2001-09-25	5.823191489361701	47
2001-09-26	5.7436170212766	47
2001-09-27	5.697659574468085	47
2001-09-28	5.65510638297872	47
2001-09-29	5.704893617021278	47
2001-09-30	6.047021276595743	47
2001-10-01	6.248510638297874	47
2001-10-02	7.757659574468088	47
2001-10-03	9.40382978723404	47
2001-10-04	8.250851063829789	47
2001-10-05	7.5868085106383045	47
2001-10-06	7.335319148936171	47
2001-10-07	7.061489361702126	47
2001-10-08	7.195106382978722	47
2001-10-09	8.850425531914892	47
2001-10-10	8.008510638297874	47
2001-10-11	7.6076595744680855	47
2001-10-12	7.655744680851064	47
2001-10-13	8.125744680851067	47
2001-10-14	8.152978723404255	47
2001-10-15	7.584255319148937	47
2001-10-16	7.229574468085108	47
2001-10-17	6.9736170212765956	47
2001-10-18	6.936923076923079	26
2001-10-19	8.314193548387095	31
2001-10-20	8.038297872340426	47
2001-10-21	8.031702127659576	47
2001-10-22	8.486170212765957	47
2001-10-23	7.492340425531913	47
2001-10-24	6.942340425531915	47
2001-10-25	6.581063829787233	47
2001-10-26	6.2931914893617025	47
2001-10-27	6.232553191489361	47
2001-10-28	9.401489361702128	47
2001-10-29	8.755319148936168	47
2001-10-30	8.201276595744682	47
2001-10-31	7.679787234042553	47
2001-11-01	7.146595744680852	47
2001-11-02	6.692978723404255	47
2001-11-03	6.349148936170215	47
2001-11-04	6.074893617021277	47
2001-11-05	5.856170212765957	47
2001-11-06	5.67531914893617	47
2001-11-07	4.572127659574468	47
2001-11-08	3.6863829787234033	47
2001-11-09	3.2863829787234042	47
2001-11-10	3.1223404255319154	47
2001-11-11	3.022553191489362	47
2001-11-12	3.0368085106382976	47
2001-11-13	3.019361702127658	47
2001-11-14	2.8417021276595746	47
2001-11-15	2.661702127659575	47
2001-11-16	2.6102127659574466	47
2001-11-17	2.5976595744680857	47
2001-11-18	2.6023404255319136	47
2001-11-20	2.6004255319148943	47
2001-11-22	2.605531914893617	47
2002-01-17	2.116595744680852	47
2002-01-20	2.112978723404255	47
2002-01-21	2.1191489361702143	47
2002-02-05	2.1172340425531915	47
2002-02-07	2.111489361702128	47
2002-02-08	2.1114893617021275	47
2002-02-11	2.0904255319148937	47
2002-03-03	2.0782978723404244	47
2002-03-04	2.079148936170214	47
2002-03-19	2.077021276595744	47
2002-03-21	2.075744680851063	47
2002-03-22	2.0787234042553187	47
2002-03-23	2.077872340425531	47
2002-03-24	2.0791489361702125	47
2002-03-25	2.078085106382978	47
2002-03-26	2.0751063829787224	47
2002-03-27	2.0751063829787224	47
2002-03-28	2.0738297872340405	47
2002-03-29	2.074255319148935	47
2002-03-30	2.072978723404254	47
2002-03-31	2.073404255319148	47
2002-04-01	2.071702127659573	47
2002-04-02	2.0697872340425514	47
2002-04-03	2.0746808510638286	47
2002-04-04	2.0748936170212753	47
2002-04-05	2.0746808510638277	47
2002-04-06	2.0723404255319133	47
2002-04-07	2.0702127659574447	47
2002-04-08	2.0731914893617	47
2002-04-09	2.0734042553191476	47
2002-04-10	2.084893617021276	47
2002-04-11	4.485744680851065	47
2002-04-12	8.17191489361702	47
2002-04-13	7.972553191489362	47
2002-04-14	7.888297872340428	47
2002-04-15	8.105744680851059	47
2002-04-16	8.144893617021273	47
2002-04-17	8.14574468085106	47
2002-04-18	8.173191489361706	47
2002-04-19	8.17234042553192	47
2002-04-20	8.24872340425532	47
2002-04-21	14.66340425531915	47
2002-04-22	20.239148936170213	47
2002-04-23	21.276382978723404	47
2002-04-24	19.83042553191489	47
2002-04-25	19.340000000000007	47
2002-04-26	20.442978723404256	47
2002-04-27	19.77340425531915	47
2002-04-28	17.14808510638298	47
2002-04-29	17.830212765957448	47
2002-04-30	15.37531914893617	47
2002-05-01	12.955106382978725	47
2002-05-02	13.907659574468084	47
2002-05-03	13.00063829787234	47
2002-05-04	11.13723404255319	47
2002-05-05	9.548297872340427	47
2002-05-06	8.676170212765959	47
2002-05-07	8.08468085106383	47
